Service Name,Service County,Service License Level,Service Primary Type,Primary Address City Name,Elite Region,Region Number,Transport group,Service Phone,Service Email,lat,lon
Anson (Town Of) First Responders,Chippewa,Emergency Medical Responder (EMR),911 Non-Transporting Service,Jim Falls,Region 1,,911 Non-Transporting Service,715-382-4324,ansonfiredepartment@gmail.com,45.044256,-91.275106
Boyceville Community Ambulance District,Dunn,Emergency Medical Technician (EMT),911 Transporting Service,Boyceville,Region 1,,911 Transporting Service,715-643-3911,boycevilleambulance@hotmail.com,45.045105,-92.03981
Glenwood City Ambulance Service,St. Croix,Emergency Medical Technician (EMT),911 Transporting Service,Glenwood City,Region 1,,911 Transporting Service,715-265-4227,glenwoodcityems@gmail.com,45.053912,-92.153668
St. Joseph First Responders,St. Croix,Emergency Medical Responder (EMR),911 Non-Transporting Service,North Hudson,Region 1,,911 Non-Transporting Service,715-549-5655,zacspates@yahoo.com,45.055952,-92.740792
Eagle Point Fd First Responders,Chippewa,Emergency Medical Responder (EMR),911 Non-Transporting Service,Eagle Point (Town of),Region 1,,911 Non-Transporting Service,715-379-0492,erikanddebdickson@charter.net,45.057427,-91.389526
Bloomer Community Ambulance Service,Chippewa,Emergency Medical Technician (EMT),911 Transporting Service,Bloomer,Region 1,,911 Transporting Service,715-568-5554,ambulance@ci.bloomer.wi.us,45.100164,-91.491751
Bloomer Area First Responders,Chippewa,Emergency Medical Responder (EMR),911 Non-Transporting Service,Bloomer,Region 1,,911 Non-Transporting Service,715-568-5554,bloomerseptic@yahoo.com,45.100164,-91.491651
New Richmond Area Ambulance & Rescue,St. Croix,Paramedic with Critical Care Endorsement,911 Transporting Service,New Richmond,Region 1,,911 Transporting Service,715-246-7700,mcmmelby@yahoo.com,45.119776,-92.535794
Somerset Fire And Rescue First Responders,St. Croix,Emergency Medical Responder (EMR),911 Non-Transporting Service,Somerset,Region 1,,911 Non-Transporting Service,715-247-5364,somfire@somtel.net,45.124337559,-92.662870275
Cornell Area Ambulance Service,Chippewa,Emergency Medical Technician (EMT),911 Transporting Service,Cornell,Region 1,,911 Transporting Service,715-239-3346,CornellareaEMS@gmail.com,45.163724,-91.149266
Deer Park First Responders,St. Croix,Emergency Medical Responder (EMR),911 Non-Transporting Service,Deer Park,Region 1,,911 Non-Transporting Service,715-220-3080,ailts@frontiernet.net,45.180312,-92.42919
New Auburn Area Fire Dept First Responders,Chippewa,Emergency Medical Responder (EMR),911 Non-Transporting Service,New Auburn,Region 1,,911 Non-Transporting Service,715-642-0659,naareafiredept@citizens-tel.net,45.2031,-91.5588
Dallas Area Ambulance Service,Barron,Emergency Medical Technician (EMT),911 Transporting Service,Prairie Farm,Region 1,,911 Transporting Service,715-418-9770,dallasareaamb@chibardun.net,45.2384,-91.9795
Prairie Farm First Responders,Barron,Emergency Medical Responder (EMR),911 Non-Transporting Service,Prairie Farm,Region 1,,911 Non-Transporting Service,715-505-6125,kenboesl@gmail.com,45.238821174,-91.980884902
Clear Lake Ambulance Service,Polk,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Clear Lake,Region 1,,911 Transporting Service,715-263-2804,director@ems.clearlake-wi.gov,45.251746,-92.270641
"Northwestern Municipal Ems, Inc - Interfacility",Polk,Paramedic with Critical Care Endorsement,Interfacility Transfer Service,Amery,Region 1,,Other Primary Service Type,715-554-0594,ameryareaems@yahoo.com,45.297244913,-92.365520902
"Northwestern Municipal Ems, Inc",Polk,Paramedic,911 Transporting Service,Amery,Region 1,,911 Transporting Service,715-268-8698,ameryareaems@yahoo.com,45.297244913,-92.365420902
"Allied Emergency Services, Inc.",Polk,Emergency Medical Responder (EMR),911 Non-Transporting Service,Amery,Region 1,,911 Non-Transporting Service,715-554-2172,benjamingrimsby11@gmail.com,45.307939,-92.494946
Amery Fire Department,Polk,Emergency Medical Responder (EMR),911 Non-Transporting Service,Amery,Region 1,,911 Non-Transporting Service,715-554-3682,jazzychristiansen@gmail.com,45.311353,-92.361924
Osceola Area Ambulance Service,Polk,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Osceola,Region 1,,911 Transporting Service,715-294-3911,rfoster@serfware.com,45.3205,-92.706
Chetek First Responders,Barron,Emergency Medical Responder (EMR),911 Non-Transporting Service,Chetek,Region 1,,911 Non-Transporting Service,715-924-4598,chetekfire1@gmail.com,45.321007,-91.663326
Chetek Ambulance Service,Barron,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Chetek,Region 1,,911 Transporting Service,715-924-4211,ryan.olson@chetekambulance.com,45.321007,-91.663226
Clayton First Responders,Polk,Emergency Medical Responder (EMR),911 Non-Transporting Service,Clayton,Region 1,,911 Non-Transporting Service,715-554-7100,emtjackson977@gmail.com,45.3325,-92.1717
Jump River First Responders,Rusk,Emergency Medical Responder (EMR),911 Non-Transporting Service,Sheldon,Region 1,,911 Non-Transporting Service,715-829-3462,kclandllc@gmail.com,45.352833402,-90.797965574
Apple River First Responders,Polk,Emergency Medical Responder (EMR),911 Non-Transporting Service,Amery,Region 1,,911 Non-Transporting Service,715-529-2748,appleriverfd@outlook.com,45.395433,-92.287174
St Croix Falls Fd,Polk,Emergency Medical Responder (EMR),911 Non-Transporting Service,Saint Croix Falls,Region 1,,911 Non-Transporting Service,715-483-3210,andyscffd@hotmail.com,45.403128,-92.623084
Lakes Region Ems D.B.A. St. Croix Valley Ems,Polk,Paramedic with Critical Care Endorsement,911 Transporting Service,Saint Croix Falls,Region 1,,911 Transporting Service,651-277-4911,benw@lrems.com,45.40315,-92.625875
Emergency Services Of Barron County,Barron,Emergency Medical Responder (EMR),911 Non-Transporting Service,Barron,Region 1,,911 Non-Transporting Service,715-296-1820,michael.judy@co.barron.wi.us,45.4189,-91.8478
Balsam Lake First Responders,Polk,Emergency Medical Responder (EMR),911 Non-Transporting Service,Balsam Lake,Region 1,,911 Non-Transporting Service,715-485-9050,angieblhh@lakeland.ws,45.451072,-92.467219
Centuria Fire And Rescue,Polk,Emergency Medical Responder (EMR),911 Non-Transporting Service,Centuria,Region 1,,911 Non-Transporting Service,715-222-7911,THEJOKER54824@GMAIL.COM,45.451977,-92.554182
Rusk County Ambulance Service,Rusk,Emergency Medical Technician (EMT),911 Transporting Service,Ladysmith,Region 1,,911 Transporting Service,715-532-2121,theresal6554@gmail.com,45.4644,-91.097945
Rice Lake Fire Department,Barron,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Rice Lake,Region 1,,911 Transporting Service,715-234-2119,rlfdmlh@ricelakegov.org,45.499679,-91.736201
Milltown Volunteer Fire Department,Polk,Emergency Medical Responder (EMR),911 Non-Transporting Service,Milltown,Region 1,,911 Non-Transporting Service,715-825-2217,mfd@lakeland.ws,45.530469,-92.501069
Cumberland Memorial Hospital Ambulance Service,Barron,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Cumberland,Region 1,,911 Transporting Service,715-308-7524,mfeeney@cumberlandhealthcare.com,45.53192073,-92.028880749
Cumberland Healthcare - Interfacility,Barron,Paramedic with Critical Care Endorsement,Interfacility Transfer Service,Cumberland,Region 1,,Other Primary Service Type,715-822-7911,mfeeney@cumberlandhealthcare.com,45.538749062,-92.052275833
Cushing First Responders,Polk,Emergency Medical Responder (EMR),911 Non-Transporting Service,Cushing,Region 1,,911 Non-Transporting Service,715-491-7120,cushingfirechief48@gmail.com,45.569878753,-92.653373809
Bear Lake-Haugen First Responders,Barron,Emergency Medical Responder (EMR),911 Non-Transporting Service,Haugen,Region 1,,911 Non-Transporting Service,715-651-9447,TaylorWillger@gmail.com,45.606524,-91.781174
Birchwood Four Corner Emergency Services District,Washburn,Emergency Medical Technician (EMT),911 Transporting Service,Birchwood,Region 1,,911 Transporting Service,608-751-4368,bfcesdems@gmail.com,45.658304443,-91.558950189
Exeland Fire Protection District,Sawyer,Emergency Medical Responder (EMR),911 Non-Transporting Service,Exeland,Region 1,,911 Non-Transporting Service,715-934-2394,exelandfire@gmail.com,45.670484,-91.244094
Long Lake Area First Responders-Washburn Co,Washburn,Emergency Medical Responder (EMR),911 Non-Transporting Service,Birchwood (Town of),Region 1,,911 Non-Transporting Service,715-651-6622,polywog1851@yahoo.com,45.740339,-91.63077
Shell Lake Fire Association,Washburn,Emergency Medical Responder (EMR),911 Non-Transporting Service,Shell Lake,Region 1,,911 Non-Transporting Service,715-468-2323,shelllakefire@yahoo.com,45.743891,-91.931026
St Croix Tribal / Hertel Fd First Responders,Burnett,Emergency Medical Responder (EMR),911 Non-Transporting Service,Webster,Region 1,,911 Non-Transporting Service,715-349-5463,stcroixhertelfire@gmail.com,45.813082,-92.207261
North Air Care,Burnett,Paramedic with Critical Care Endorsement,Air Medical Service,Siren,Region 1,,Air Medical Service,763-581-9900,shimon.cohen@northmemorial.com,45.823631,-92.367187
Webster Rural Fire Assn,Burnett,Emergency Medical Responder (EMR),911 Non-Transporting Service,Webster,Region 1,,911 Non-Transporting Service,715-566-1056,websterfire@sirentel.net,45.877535,-92.366112
North Memorial Ambulance-Wi Region,Burnett,Paramedic with Critical Care Endorsement,911 Transporting Service,Webster,Region 1,,911 Transporting Service,763-581-9275,Simone.Ramler@NorthMemorial.com,45.878894,-92.36582
Bass Lake Volunteer Fire Department,Sawyer,Emergency Medical Responder (EMR),911 Non-Transporting Service,Hayward,Region 1,,911 Non-Transporting Service,715-634-8469,tammy@basslakewi.gov,45.914698794,-91.413165816
Webb Lake Area First Responders,Burnett,Emergency Medical Responder (EMR),911 Non-Transporting Service,Danbury,Region 1,,911 Non-Transporting Service,715-416-3007,DMCCONNELL@EAGLE-ELEC.COM,45.973981,-92.082997
Lac Courtes Oreilles Fire And Rescue,Sawyer,Emergency Medical Responder (EMR),911 Non-Transporting Service,Hayward (Town of),Region 1,,911 Non-Transporting Service,715-699-1698,theremoore1976@gmail.com,45.982712235,-91.358477103
Town Of Round Lake (Round Lake Fire/Rescue),Sawyer,Emergency Medical Responder (EMR),911 Non-Transporting Service,Hayward (Town of),Region 1,,911 Non-Transporting Service,715-381-8915,vhaesemeyer@gmail.com,46.014834,-91.197638
Butternut Fire Department Ems,Ashland,Emergency Medical Responder (EMR),911 Non-Transporting Service,Butternut,Region 1,,911 Non-Transporting Service,715-661-2403,butternutfire@outlook.com,46.014843,-90.494215
Sawyer County Ambulance,Sawyer,Paramedic,911 Transporting Service,Hayward,Region 1,,911 Transporting Service,715-558-3170,john.froemel@sawyercountygov.org,46.018977,-91.487969
Hayward (Town Of) Fire/Rescue,Sawyer,Emergency Medical Responder (EMR),911 Non-Transporting Service,Hayward (Town of),Region 1,,911 Non-Transporting Service,715-634-4123,thfd@cheqnet.net,46.0554,-91.5518
Spider Lake Volunteer Fire Department,Sawyer,Emergency Medical Responder (EMR),911 Non-Transporting Service,Hayward (Town of),Region 1,,911 Non-Transporting Service,715-381-8915,vhaesemeyer@gmail.com,46.069973,-91.229494
Minong Area Ambulance Service,Washburn,Emergency Medical Technician (EMT),911 Transporting Service,Minong,Region 1,,911 Transporting Service,715-466-2322,minongambulance117@yahoo.com,46.099638,-91.817191
Glidden Area Emergency Medical Service,Ashland,Emergency Medical Technician (EMT),911 Transporting Service,Glidden,Region 1,,911 Transporting Service,715-638-0484,rentals@rentnorthernwi.com,46.135532,-90.576602
Great Divide Ambulance Service,Bayfield,Paramedic with Critical Care Endorsement,911 Transporting Service,Cable (Town of),Region 1,,911 Transporting Service,715-209-0287,monicabigo@greatdivideems.com,46.208021,-91.29531
Dairyland Fire Dept First Responders,Douglas,Emergency Medical Responder (EMR),911 Non-Transporting Service,Dairyland,Region 1,,911 Non-Transporting Service,715-566-1493,dairylandfdchief@gmail.com,46.216253,-92.155414
Gordon - Wascott Emergency Medical Service,Douglas,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Gordon,Region 1,,911 Transporting Service,715-376-2640,bettyebert71@gmail.com,46.2436,-91.8021
Mellen Fire & Rescue Department,Ashland,Emergency Medical Technician (EMT),911 Transporting Service,Mellen,Region 1,,911 Transporting Service,715-274-2136,tonymfd@yahoo.com,46.325861,-90.660729
Barnes Ambulance Service,Bayfield,Emergency Medical Technician (EMT),911 Transporting Service,Barnes,Region 1,,911 Transporting Service,715-795-2424,ambdirector@townofbarneswi.gov,46.339884,-91.468278
Solon Springs Vol Fd First Responders,Douglas,Emergency Medical Responder (EMR),911 Non-Transporting Service,Solon Springs,Region 1,,911 Non-Transporting Service,218-390-4847,bubblesdaytona@gmail.com,46.345733,-91.82628
Highland Vfd First Responders,Douglas,Emergency Medical Responder (EMR),911 Non-Transporting Service,Lake Nebagamon,Region 1,,911 Non-Transporting Service,863-800-4250,highlandvfdems@gmail.com,46.424606,-91.667693
Mason Area Ambulance Service,Bayfield,Emergency Medical Technician (EMT),911 Transporting Service,Mason,Region 1,,911 Transporting Service,715-765-4449,jcduberock@cheqnet.net,46.435552,-91.060759
Bennett Fire Dept First Responders,Douglas,Emergency Medical Responder (EMR),911 Non-Transporting Service,Bennett (Town of),Region 1,,911 Non-Transporting Service,406-861-0626,melinda.anderson02@gmail.com,46.445975,-91.818746
Summit Vol Fire Dept - Douglas Co,Douglas,Emergency Medical Responder (EMR),911 Non-Transporting Service,Foxboro,Region 1,,911 Non-Transporting Service,715-493-9844,summitfire@yahoo.com,46.49022665,-92.168545959
Hawthorne Fire Dept First Responders,Douglas,Emergency Medical Responder (EMR),911 Non-Transporting Service,Hawthorne (Town of),Region 1,,911 Non-Transporting Service,218-606-6800,richgeoff@gmail.com,46.502694941,-91.860897612
Lake Nebagamon Volunteer Fire Department,Douglas,Emergency Medical Responder (EMR),911 Non-Transporting Service,Lake Nebagamon,Region 1,,911 Non-Transporting Service,218-349-5576,jakefuller@outlook.com,46.515315,-91.703499
Oakland (Town Of) Fire Department,Douglas,Emergency Medical Responder (EMR),911 Non-Transporting Service,South Range,Region 1,,911 Non-Transporting Service,218-393-3428,stacyfornengo@gmail.com,46.54318,-91.983175
Brule Fire Department First Responders,Douglas,Emergency Medical Responder (EMR),911 Non-Transporting Service,Brule (Town of),Region 1,,911 Non-Transporting Service,218-391-1896,khkbrule@yahoo.com,46.555567733,-91.5761533
Iron River Ambulance,Bayfield,Emergency Medical Technician (EMT),911 Transporting Service,Iron River,Region 1,,911 Transporting Service,715-815-0095,warden112@hotmail.com,46.564501,-91.402124
Superior (Town Of) Fire Dept,Douglas,Emergency Medical Responder (EMR),911 Non-Transporting Service,Superior (Town of),Region 1,,911 Non-Transporting Service,715-399-8055,tsfireems@yahoo.com,46.584813658,-92.120052544
Poplar Vol. Fire Department,Douglas,Emergency Medical Responder (EMR),911 Non-Transporting Service,Poplar,Region 1,,911 Non-Transporting Service,612-723-3514,Badexpresso@yahoo.com,46.585613,-91.797454
Ashland Fire Department,Ashland,Paramedic with Critical Care Endorsement,911 Transporting Service,Ashland,Region 1,,911 Transporting Service,715-682-7052,cpribek@coawi.org,46.589023,-90.878349
Maple Vol Fire Dept First Responders,Douglas,Emergency Medical Responder (EMR),911 Non-Transporting Service,Maple (Town of),Region 1,,911 Non-Transporting Service,715-363-2520,mlundeenmaple@gmail.com,46.590348612,-91.730684902
Amnicon Fire Dept First Responders,Douglas,Emergency Medical Responder (EMR),911 Non-Transporting Service,South Range,Region 1,,911 Non-Transporting Service,715-364-8410,amniconfire@gmail.com,46.600446,-91.836761
Parkland Vol Fire Dept First Responders,Douglas,Emergency Medical Responder (EMR),911 Non-Transporting Service,South Range,Region 1,,911 Non-Transporting Service,218-355-1460,louann1992@gmail.com,46.608965,-91.982575
Lakeside Vol Fire Dept First Responders,Douglas,Emergency Medical Responder (EMR),911 Non-Transporting Service,Poplar,Region 1,,911 Non-Transporting Service,715-364-2650,nnordrum@gmail.com,46.649051,-91.800255
Bayfield County Mci Team,Bayfield,Emergency Medical Technician (EMT),911 Non-Transporting Service,Washburn,Region 1,,911 Non-Transporting Service,715-373-6113,EM@bayfieldcounty.wi.gov,46.67534293,-90.893954869
Cloverland Fire Dept First Responders,Douglas,Emergency Medical Responder (EMR),911 Non-Transporting Service,Maple,Region 1,,911 Non-Transporting Service,715-363-2357,toni23_27@yahoo.com,46.676799,-91.625983
Washburn Area Ambulance Service,Bayfield,Emergency Medical Technician (EMT),911 Transporting Service,Washburn,Region 1,,911 Transporting Service,715-373-6176,emsdirector@cityofwashburnwi.gov,46.678670634,-90.894998899
City Of Superior Fire Department,Douglas,Emergency Medical Technician (EMT),911 Non-Transporting Service,Superior,Region 1,,911 Non-Transporting Service,715-395-1680,sventekj@ci.superior.wi.us,46.699898,-92.103851
Madeline Island Ambulance,Ashland,Emergency Medical Technician (EMT),911 Transporting Service,La Pointe,Region 1,,911 Transporting Service,715-747-6913,ambulancedirector@townoflapointewi.gov,46.785417293,-90.781311275
Bayfield Community Ambulance Service,Bayfield,Emergency Medical Technician (EMT),911 Transporting Service,Bayfield,Region 1,,911 Transporting Service,715-209-3892,corneliuslynette9@gmail.com,46.812387,-90.825146
South Shore Area Ambulance Service,Bayfield,Emergency Medical Technician (EMT),911 Transporting Service,Herbster,Region 1,,911 Transporting Service,715-774-3781,byerhofjw@gmail.com,46.832384,-91.261513
Red Cliff Tribal Ambulance,Bayfield,Emergency Medical Technician (EMT),911 Transporting Service,Red Cliff Indian Reservation,Region 1,,911 Transporting Service,715-779-3707,MLang@redcliffhealth.org,46.856364319,-90.790570316
Armenia First Responders,Wood,Emergency Medical Responder (EMR),911 Non-Transporting Service,Nekoosa,Region 2,,911 Non-Transporting Service,608-565-6945,leak_angie@hotmail.com,44.169881832,-90.036365453
Rome Fire Department First Responders,Wood,Emergency Medical Responder (EMR),911 Non-Transporting Service,Nekoosa,Region 2,,911 Non-Transporting Service,715-213-8834,kane@romewi.com,44.220904,-89.809431
Saratoga (Town Of) Ems-First Responders,Wood,Emergency Medical Responder (EMR),911 Non-Transporting Service,Wisconsin Rapids,Region 2,,911 Non-Transporting Service,715-325-5402,mamamoose5100@gmail.com,44.306987,-89.815908
Nekoosa Vol Fire Dept First Responders,Wood,Emergency Medical Responder (EMR),911 Non-Transporting Service,Nekoosa,Region 2,,911 Non-Transporting Service,715-572-5766,mhartje@nekoosawi.com,44.315213,-89.902422
Port Edwards (Town) Emergency Medical Responders,Wood,Emergency Medical Responder (EMR),911 Non-Transporting Service,Nekoosa,Region 2,,911 Non-Transporting Service,608-843-2215,markymark5411@gmail.com,44.341832,-89.915952
Port Edwards Fire Dept First Responders,Wood,Emergency Medical Responder (EMR),911 Non-Transporting Service,Port Edwards,Region 2,,911 Non-Transporting Service,715-887-3481,jgmancl@gmail.com,44.343707,-89.863847
United Emergency Medical Response,Wood,Paramedic with Critical Care Endorsement,911 Transporting Service,Wisconsin Rapids,Region 2,,911 Transporting Service,715-423-7777,gjemt_p@yahoo.com,44.372557,-89.782714
Grand Rapids Vfd,Wood,Emergency Medical Responder (EMR),911 Non-Transporting Service,Wisconsin Rapids,Region 2,,911 Non-Transporting Service,715-424-1815,fire.chief@grandrapidswi.org,44.372989,-89.76587
Wisconsin Rapids Fire Department,Wood,Paramedic with Critical Care Endorsement,911 Transporting Service,Wisconsin Rapids,Region 2,,911 Transporting Service,715-423-1150,jfetterer@wirapids.gov,44.378182,-89.811921
Biron Vfd First Responders,Wood,Emergency Medical Responder (EMR),911 Non-Transporting Service,Biron,Region 2,,911 Non-Transporting Service,715-423-6585,sdillingham@biron.wi.gov,44.415893,-89.786594
Pittsville Fire Department Inc.,Wood,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Pittsville,Region 2,,911 Transporting Service,715-884-6514,yerke2850@yahoo.com,44.441954,-90.125051
Amherst Fire District,Portage,Paramedic,911 Transporting Service,Amherst,Region 2,,911 Transporting Service,715-824-5511,vvoss@amherstfd.org,44.44708,-89.29685
Village Of Plover Fire Department,Portage,Paramedic,911 Transporting Service,Plover,Region 2,,911 Transporting Service,715-310-6882,THoward@ploverwi.gov,44.463135,-89.54393
"Vesper Volunteer Fire Dept, Inc",Wood,Emergency Medical Responder (EMR),911 Non-Transporting Service,Vesper,Region 2,,911 Non-Transporting Service,715-569-4600,vesperfiredept@gmail.com,44.4828,-89.967554
Rudolph Fire Department,Wood,Emergency Medical Responder (EMR),911 Non-Transporting Service,Rudolph,Region 2,,911 Non-Transporting Service,715-435-3740,pholicek@rudolphfd.com,44.495939,-89.801139
Portage County Emergency Medical Services,Portage,Emergency Medical Responder (EMR),911 Non-Transporting Service,Stevens Point,Region 2,,911 Non-Transporting Service,715-346-1399,krantza@co.portage.wi.gov,44.52056,-89.581424
Portage County / Stevens Point Fire Department,Portage,Paramedic,911 Transporting Service,Stevens Point,Region 2,,911 Transporting Service,715-344-1833,luchinia@stevenspoint.com,44.526971,-89.574614
Arpin Fire Dept First Responders,Wood,Emergency Medical Responder (EMR),911 Non-Transporting Service,Arpin,Region 2,,911 Non-Transporting Service,715-652-2414,arpin1ems@gmail.com,44.539928,-90.034937
Neillsville Municipal Ambulance Service,Clark,Emergency Medical Technician (EMT),911 Transporting Service,Neillsville,Region 2,,911 Transporting Service,715-797-1175,kennethmarg@yahoo.com,44.557706432,-90.606616474
